"Freq [GHz]","Phase [deg]","Distance [um]","(phase3*180/pi) []","phase4*180/pi []"
181,0,0,-61.2487118392416,127.663002966454
181,0,6.78,-61.4390828617511,127.658122702122
181,0,13.56,-61.452876085533,127.653258239474
181,0,20.34,-61.466649226962,127.648409501885
181,0,27.12,-61.4804023282955,127.643576413224
181,0,33.9,-61.4941354316775,127.638758897849
181,0,40.68,-61.5078485791384,127.633956880606
181,0,47.46,-61.5215418125958,127.629170286823
181,0,54.24,-61.5352151738544,127.624399042307
181,0,61.02,-61.5488687046071,127.619643073337
181,0,67.8,-61.5625024464346,127.614902306667
181,0,74.58,-61.576116440806,127.610176669514
181,0,81.36,-61.5897107290795,127.605466089561
181,0,88.14,-61.6032853525023,127.600770494952
181,0,94.92,-61.2751223474597,127.596089814283
181,0,101.7,-61.2820382462932,127.591423976605
181,0,108.48,-61.2889381814387,127.58677291142
181,0,115.26,-61.2958222078895,127.58213654867
181,0,122.04,-61.3026903803879,127.577514818744
181,0,128.82,-61.3095427534259,127.572907652467
181,0,135.6,-61.3163793812471,128.005680196156
181,0,142.38,-61.3232003178481,127.300660796142
181,0,149.16,-61.3300056169796,127.932410679864
181,0,155.94,-61.336795332148,127.933456743749
181,0,162.72,-61.3435695166168,127.934503756601
181,0,169.5,-61.3503282234077,127.935551719724
181,0,176.28,-61.3570715053026,127.936600634426
181,0,183.06,-61.3637994148442,127.937650502015
181,0,189.84,-61.1684075367823,127.938701323804
181,0,196.62,-61.1694517366929,127.939753101105
181,0,203.4,-61.1704969428374,127.940805835237
181,0,210.18,-61.1715431566718,127.941859527518
181,0,216.96,-61.1725903796551,127.942914179269
181,0,223.74,-61.1736386132494,127.943969791815
181,0,230.52,-61.1746878589191,127.94502636648
181,0,237.3,-61.1757381181317,127.946083904595
181,0,244.08,-61.1767893923575,127.94714240749
181,0,250.86,-61.1778416830698,127.948201876498
181,0,257.64,-61.1827852428688,127.945064534712
181,0,264.42,-61.1789373437404,127.943348967655
181,0,271.2,-61.175085628924,127.941630825507
181,0,277.98,-61.1712300928131,127.939910102463
181,0,284.76,-61.1673707297903,127.938186792697
181,0,291.54,-61.1635075342273,127.936460890369
181,0,298.32,-61.1514290135377,128.07095954375
